date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2025-05-30,32.816,3.490916201330025,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-31,32.671,3.4864878342660472,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-01,34.152,3.530821149455661,,-0.7375503761828086,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-02,36.474,3.5965996779946403,,-0.6032195415743276,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-03,36.092,3.586071234132254,,-0.952358190627528,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-04,35.632,3.5732441105150117,,-1.2515917392743379,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-05,34.024,3.5270661579513325,,-0.9334361249118948,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-06,33.333,3.5065478972699813,,-0.9955757045188038,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-07,34.921,3.553088367445681,,-0.9067959045298388,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-08,34.984,3.5548908141106197,,-1.3363902491725632,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-09,38.848,3.659656595437033,,0.07448506954847689,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2025-06-10,42.241,3.7433913133602,,0.28205258843524605,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2025-06-11,41.828,3.7335659717363425,,-0.30284844638155706,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-12,40.516,3.701696957824551,,-0.8809480933814409,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-13,42.297,3.7447161615513336,,-0.683218389360631,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-14,40.13,3.6921241842788253,,-1.0564083149483081,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-15,41.193,3.7182683390077242,,-1.1132905831549098,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-16,41.918,3.735715328950968,,-1.0527794652018143,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-17,39.968,3.6880791339431673,,-1.1118344104672209,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-18,39.48,3.675794214565281,,-1.3586133661245081,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-19,36.876,3.607560932936348,,-0.6747392989220964,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-20,33.387,3.5081666026593976,,0.05940818295533434,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2025-06-21,34.421,3.5386668432376016,,-0.7115149680167683,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-22,35.754,3.5766621509928966,,-1.2044631776251482,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23,38.175,3.6421808511046962,,-0.8303906782039392,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-24,37.512,3.6246608817872854,,-1.2571570087245267,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,37.016,3.6113502516046982,,-1.53224454419888,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-26,35.803,3.578031688778406,,-1.4451023823638924,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-27,36.622,3.600649152719522,,-1.6631079483643587,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-28,37.798,3.632256191172846,,-1.465230747426924,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-29,39.775,3.6832385742238505,,-1.0493263069590129,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,39.55,3.677565694213663,,-1.3629461428792569,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01,36.909,3.6084554237461415,,-0.6686820751907674,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-02,39.877,3.6857997165870136,,-0.5344617071146343,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-03,40.254,3.6952093778088058,,-1.0050489467469321,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-04,38.962,3.6625868121590126,,-1.450520333231919,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05,39.143,3.6672216069611334,,-1.8126071535392425,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-06,39.829,3.6845952901748844,,-1.7483771636694208,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-07,38.546,3.6518523332768598,-0.008008588917407217,-1.4251765632586837,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-08,38.806,3.658574873849081,0.042388784294941716,-1.891160446828765,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-09,40.673,3.7055644816442075,0.39383287550165824,-1.1001068064293371,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-10,43.813,3.7799305769978777,1.0737547342802447,-0.4320488544927952,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11,46.383,3.8369330127885672,1.8258412967805464,-0.15908282058545575,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-12,47.09,3.8520606642554633,2.382366786069677,-0.3313678777268989,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-13,48.95,3.8907993689765195,2.9079591260273907,-0.21373981638793849,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-14,47.608,3.8630008143425507,3.156876470944725,-0.6845820550834247,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-15,47.867,3.868426331710068,3.3413510052514126,-0.7872666365925587,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-16,46.987,3.8498709677057197,3.405830782623709,-1.0606391643768438,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17,45.59,3.8196883942253503,3.347547971722642,-1.3903197608817601,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-18,44.331,3.791684206589607,3.1980699900583636,-1.3627082269251494,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-19,44.48,3.7950396499423267,3.0613700513755173,-1.595951500773304,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-20,45.997,3.828576176971044,3.0188421741492113,-1.3694304135114028,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-21,44.329,3.7916390904154507,2.86241634728844,-1.288580865503251,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-22,46.274,3.8345802482854903,2.8253461185916593,-1.1493228665714765,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23,43.705,3.7774625120324514,2.622324592877678,-0.8298275381264191,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-24,42.075,3.7394537400768697,2.3280769979636537,-0.7488454040319033,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-25,44.128,3.7870945016108912,2.1808459281178445,-1.0476930773661606,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
